2025-10-14 12:31:27 | INFO | lift | Moving up from floor 3
2025-10-14 12:31:29 | INFO | lift | Moving up from floor 4
2025-10-14 12:31:31 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:31:31 | INFO | lift | Waiting at floor 5
2025-10-14 12:31:31 | INFO | lift | Moving up from floor 5
2025-10-14 12:31:33 | INFO | lift | Moving up from floor 6
2025-10-14 12:31:35 | INFO | lift | Moving up from floor 7
2025-10-14 12:31:37 | INFO | lift | Moving up from floor 8
2025-10-14 12:31:39 | INFO | lift | Moving up from floor 9
2025-10-14 12:31:41 | INFO | lift | Reached floor ===========================================>10
2025-10-14 12:31:41 | INFO | lift | Waiting at floor 10
2025-10-14 12:31:43 | INFO | lift | State: IDLE | Current floor: 10
2025-10-14 12:31:43 | INFO | lift | State: Sleep | Current floor: 10 fsm in sleep mode
2025-10-14 12:32:09 | INFO | lift | State: IDLE | Current floor: 10
2025-10-14 12:32:09 | INFO | lift | Moving down from floor 10
2025-10-14 12:32:11 | INFO | lift | Moving down from floor 9
2025-10-14 12:32:13 | INFO | lift | Moving down from floor 8
2025-10-14 12:32:15 | INFO | lift | Moving down from floor 7
2025-10-14 12:32:17 | INFO | lift | Moving down from floor 6
2025-10-14 12:32:19 | INFO | lift | Reached floor ===========================================>5
2025-10-14 12:32:19 | INFO | lift | Waiting at floor 5
2025-10-14 12:32:19 | INFO | lift | Moving up from floor 5
2025-10-14 12:32:21 | INFO | lift | Moving up from floor 6
2025-10-14 12:32:23 | INFO | lift | Moving up from floor 7
2025-10-14 12:32:25 | INFO | lift | Moving up from floor 8
2025-10-14 12:32:27 | INFO | lift | Moving up from floor 9
2025-10-14 12:32:29 | INFO | lift | Reached floor ===========================================>10
2025-10-14 12:32:29 | INFO | lift | Waiting at floor 10
2025-10-14 12:32:29 | INFO | lift | Moving down from floor 10
2025-10-14 12:32:31 | INFO | lift | Moving down from floor 9
2025-10-14 12:32:33 | INFO | lift | Moving down from floor 8
2025-10-14 12:32:35 | INFO | lift | Reached floor ===========================================>7
2025-10-14 12:32:35 | INFO | lift | Waiting at floor 7
2025-10-14 12:32:37 | INFO | lift | State: IDLE | Current floor: 7
2025-10-14 12:32:37 | INFO | lift | State: Sleep | Current floor: 7 fsm in sleep mode
2025-10-14 12:35:23 | INFO | lift | LiftFSM started
2025-10-14 12:35:23 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:35:23 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
2025-10-14 12:35:31 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:35:31 | INFO | lift | Moving up from floor 0
2025-10-14 12:35:33 | INFO | lift | Moving up from floor 1
2025-10-14 12:35:35 | INFO | lift | Moving down from floor 2
2025-10-14 12:35:37 | INFO | lift | Moving down from floor 1
2025-10-14 12:35:39 | INFO | lift | Reached floor ===========================================>0
2025-10-14 12:35:39 | INFO | lift | Waiting at floor 0
2025-10-14 12:35:41 | INFO | lift | State: IDLE | Current floor: 0
2025-10-14 12:35:41 | INFO | lift | State: Sleep | Current floor: 0 fsm in sleep mode
